,artist_name,track_name,track_id,popularity
305,Calum Scott,Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ,83
306,Chris Lane,I Don't Know About You,3yOs8FffuG6hPbzQG9lIqV,75
307,6ix9ine,TIC TOC (feat. Lil Baby),4m5Cd9kAbIxg6t9sMrQWtk,80
308,Sam Smith,"Fire On Fire - From ""Watership Down""",5rFj8OzffT0iggSjcBaeND,86
309,Joyner Lucas,I Love,30z4LVkScpeNhwHFIB8Ewa,78
310,Ariana Grande,sweetener,70khXICDeTTxgYtw3EysKH,79
311,Kacey Musgraves,Rainbow,79qxwHypONUt3AFq0WPpT9,77
312,Sia,"Thunderclouds (with Sia, Diplo & Labrinth)",2c7GlMNmF7pbohjykutmLP,86
313,Kelsea Ballerini,Miss Me More,5NfJGBAL9mgFPRQxKJmiX2,75
314,A Boogie Wit da Hoodie,Just Like Me (feat. Young Thug),0uH6JssU7mWkTT9mqeqEvL,77
315,XXXTENTACION,BAD!,22An65gG31JLf9n18qjdhZ,78
